"","date","ticker","word_count","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","dy","ev2ebitda","m2b","pb","pe","pf","ps","mom","days","est_earning","surprise.1","ret_yesterday","y.return01"
"1","2017-02-21","EXEL",19,1,0,0,0,0,0,0,0,0,0,0,NA,74.1172,75.0144,NA,28.0443,31.334,0.80045,-6,-0.007,1846.8,0.0207505518763798,0
"2","2017-02-22","EXEL",20,0,1,0,1,1,0,1,0,0,3,0,NA,72.5457,73.4239,NA,27.4497,30.6696,0.82031,-5,-0.007,1846.8,-0.000432525951557183,0
"3","2017-02-23","EXEL",7,0,0,0,0,0,0,0,0,0,0,0,NA,69.7234,70.5674,NA,26.3818,29.4765,0.8231,-4,-0.007,1846.8,-0.0212029424491561,0
"4","2017-02-24","EXEL",36,0,0,0,0,0,0,0,0,0,0,0,NA,69.563,70.4052,NA,26.3211,29.4087,0.82345,-3,-0.007,1846.8,-0.0389036251105218,0
"5","2017-02-25","EXEL",4,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.82847,-2,-0.007,1846.8,-0.00229990800367974,0
"6","2017-02-27","EXEL",260,1,4,1,3,4,3,1,6,5,11,0,NA,75.1932,74.9495,NA,28.02,31.3069,0.82388,0,-0.007,1846.8,-0.00229990800367974,1
"7","2017-02-28","EXEL",197,2,5,2,3,0,3,0,6,6,7,0,NA,70.1131,69.8858,NA,26.1269,29.1917,0.83326,1,-0.007,1846.8,0.0645458736745044,0
"8","2017-03-01","EXEL",51,1,4,1,2,3,0,2,5,1,6,0,NA,71.4157,71.1842,NA,26.6123,29.7341,0.83093,2,-0.007,1846.8,-0.0675617150281507,1
"9","2017-03-03","EXEL",43,1,1,1,2,0,1,0,1,1,3,0,NA,75.1607,74.9171,NA,28.0079,31.2933,0.82401,4,-0.007,1846.8,0.0213655364607523,1
"10","2017-03-04","EXEL",64,0,0,0,2,1,2,0,2,3,6,NA,NA,NA,NA,NA,NA,NA,0.83276,5,-0.007,1846.8,0.049567985447931,1
"11","2017-03-05","EXEL",8,0,0,0,1,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.81918,6,-0.007,1846.8,0.049567985447931,1
"12","2017-02-03","CLF",48,0,0,0,1,2,1,0,2,1,4,0,11.4213,-1.3843,NA,21.1947,9.2197,0.8417,0.81642,-6,0.23,82.8,-0.20552677029361,0
