"","date","word_count","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1","2017-02-03",34,0,1,0,0,1,0,0,4,0,4
"2","2017-02-02",20,1,0,0,0,0,0,0,0,1,1
"3","2017-02-01",22,0,1,0,0,0,0,0,1,1,2
"4","2017-01-31",9,0,0,0,0,0,0,0,0,0,0
"5","2017-01-30",44,0,1,0,0,0,0,0,1,1,3
"6","2017-01-29",9,1,1,0,2,1,0,0,2,1,2
"7","2017-01-28",20,1,1,0,0,1,1,2,2,1,3
"8","2017-01-27",27,0,1,0,0,0,0,0,1,1,0
"9","2017-01-26",52,0,0,0,0,0,0,0,2,1,4
"10","2017-01-25",261,3,9,1,4,1,3,0,15,8,13
"11","2017-01-24",474,7,9,1,9,5,5,3,11,15,17
"12","2017-01-23",100,0,2,0,0,1,0,1,2,3,7
"13","2017-01-22",9,0,0,0,0,0,0,0,0,0,0
"14","2017-01-21",14,0,0,0,0,0,0,0,0,0,0
"15","2017-01-20",95,0,0,0,0,0,0,0,1,8,1
"16","2017-01-19",123,0,5,0,0,0,1,0,5,1,2
"17","2017-01-18",58,0,1,0,0,0,0,0,3,1,2
"18","2017-01-17",26,1,0,0,2,0,0,1,1,0,0
"19","2017-01-16",22,2,2,1,1,1,1,1,1,1,1
