"","date","word_count","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1","2017-02-09",19,1,0,0,0,0,1,0,0,1,2
"2","2017-02-08",130,2,1,0,0,2,2,0,3,3,17
"3","2017-02-07",190,2,5,1,2,2,3,0,4,7,22
"4","2017-02-06",185,0,9,0,4,4,0,4,7,6,16
"5","2017-02-05",20,0,0,0,0,0,0,0,0,0,0
"6","2017-02-04",41,0,2,0,0,1,1,0,2,1,6
"7","2017-02-03",97,3,1,2,2,1,2,1,7,5,15
"8","2017-02-02",222,1,5,0,0,1,0,0,4,4,19
"9","2017-02-01",328,5,10,1,4,4,5,2,13,8,35
"10","2017-01-31",504,12,18,2,11,3,11,5,12,18,38
"11","2017-01-30",114,2,7,1,4,5,2,3,5,4,12
"12","2017-01-29",16,1,1,0,2,1,0,0,2,1,2
"13","2017-01-27",229,4,13,0,9,5,6,3,10,14,22
"14","2017-01-26",106,1,4,2,4,2,1,1,7,3,13
"15","2017-01-25",72,1,4,0,1,1,0,1,4,2,8
"16","2017-01-24",83,1,1,0,1,0,1,0,0,1,7
