"","date","word_count","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1","2017-03-30",44,0,0,0,0,0,0,0,5,0,4
"2","2017-03-28",13,0,0,0,0,0,0,0,0,0,0
"3","2017-03-27",79,0,0,0,0,0,0,0,4,0,2
"4","2017-03-16",13,1,1,0,1,0,0,0,0,0,2
"5","2017-03-10",9,0,0,0,0,0,0,0,0,0,0
"6","2017-02-23",13,0,0,0,0,0,0,0,0,0,0
"7","2017-02-14",27,0,0,0,0,0,0,0,0,0,0
"8","2017-02-09",16,0,0,0,0,0,0,0,0,0,0
"9","2017-02-06",8,0,0,0,0,0,0,0,0,0,0
"10","2017-02-03",10,0,0,0,0,0,0,0,0,0,0
