"","date","word_count","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1","2017-02-23",7,1,1,0,0,0,0,0,0,0,0
"2","2017-02-21",11,0,0,1,0,0,0,0,0,1,1
"3","2017-02-16",16,0,0,0,0,0,0,0,0,0,1
"4","2017-02-15",35,0,0,1,0,0,0,0,0,3,1
"5","2017-02-14",16,0,0,0,1,0,1,0,0,1,0
"6","2017-02-10",78,1,2,1,2,0,2,0,2,3,8
"7","2017-02-09",274,5,2,1,5,2,5,0,2,7,27
"8","2017-02-08",45,2,1,0,2,1,0,1,1,0,5
"9","2017-02-03",89,0,5,0,0,0,0,0,6,0,11
"10","2017-02-02",9,0,0,1,0,0,0,0,0,1,1
