"","date","word_count","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1","2016-11-23",9,0,0,0,0,0,0,0,0,0,0
"2","2016-11-22",13,0,0,0,0,0,1,0,0,1,0
"3","2016-11-21",9,0,1,0,0,0,0,0,1,0,1
"4","2016-11-18",14,0,0,0,0,0,0,0,1,0,1
"5","2016-11-17",37,0,0,0,0,0,0,0,3,1,0
"6","2016-11-16",22,1,1,1,0,0,1,0,1,1,1
"7","2016-11-15",18,0,0,0,0,0,0,0,0,0,1
"8","2016-11-11",10,1,0,0,1,1,1,0,1,1,1
"9","2016-11-10",9,0,0,0,0,0,1,0,0,1,0
"10","2016-11-09",10,0,0,0,0,0,0,0,0,0,0
"11","2016-11-07",11,0,0,0,0,0,0,0,0,0,1
"12","2016-11-05",11,0,0,0,0,0,0,0,0,0,0
"13","2016-11-04",10,0,0,0,0,0,0,1,0,0,1
"14","2016-11-03",13,0,1,0,0,1,0,1,1,0,1
"15","2016-11-02",13,0,1,0,0,1,0,1,0,0,1
"16","2016-11-01",14,0,0,0,0,0,0,0,0,0,0
"17","2016-10-31",16,1,1,0,1,0,0,1,0,1,1
"18","2016-10-30",21,0,0,0,1,0,0,0,1,0,1
"19","2016-10-27",90,0,1,0,0,0,0,0,0,0,1
"20","2016-10-26",129,0,1,0,1,1,0,1,0,1,2
"21","2016-10-25",63,0,0,0,0,1,0,0,1,0,1
"22","2016-10-23",10,0,0,0,0,0,0,0,0,0,2
"23","2016-10-21",12,0,0,0,0,0,0,0,0,0,1
"24","2016-10-20",12,1,1,0,1,1,0,0,1,0,2
"25","2016-10-19",53,0,0,0,0,0,0,0,0,0,6
"26","2016-10-17",24,1,2,0,1,1,0,1,1,2,1
"27","2016-10-14",19,0,1,0,1,0,1,1,0,2,1
"28","2016-08-10",6,0,0,0,0,0,0,0,0,0,0
"29","2016-08-09",43,0,2,0,0,1,0,2,1,1,1
"30","2016-08-08",28,1,1,0,1,1,0,0,1,0,3
"31","2016-08-03",31,0,2,0,0,0,0,0,1,0,3
"32","2016-08-02",11,0,0,0,0,0,0,0,0,0,0
"33","2016-08-01",17,0,0,0,0,0,0,0,1,0,0
"34","2016-07-29",35,0,0,0,0,0,0,0,1,0,0
"35","2016-07-28",23,0,0,0,0,0,0,0,0,0,0
"36","2016-07-27",115,0,1,0,1,1,0,2,2,2,3
"37","2016-07-22",10,0,0,0,0,0,0,0,0,0,0
"38","2016-07-21",10,0,0,0,0,0,0,0,0,0,1
"39","2016-07-20",8,0,0,0,0,0,1,0,0,1,1
"40","2016-07-19",23,0,0,0,0,0,0,0,1,0,2
"41","2016-07-18",5,0,0,0,0,0,0,0,0,0,0
"42","2016-07-16",14,1,0,1,1,0,1,0,0,1,1
