"","date","word_count","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1","2017-03-06",69,0,0,0,3,0,3,0,3,3,4
"2","2017-03-05",8,0,0,0,1,0,1,0,1,1,1
"3","2017-03-04",64,0,0,0,2,1,2,0,2,3,6
"4","2017-03-03",43,1,1,1,2,0,1,0,1,1,3
"5","2017-03-01",51,1,4,1,2,3,0,2,5,1,6
"6","2017-02-28",197,2,5,2,3,0,3,0,6,6,7
"7","2017-02-27",260,1,4,1,3,4,3,1,6,5,11
"8","2017-02-25",4,0,0,0,0,0,0,0,0,0,0
"9","2017-02-24",36,0,0,0,0,0,0,0,0,0,0
"10","2017-02-23",7,0,0,0,0,0,0,0,0,0,0
"11","2017-02-22",20,0,1,0,1,1,0,1,0,0,3
"12","2017-02-21",19,1,0,0,0,0,0,0,0,0,0
