"","date","word_count","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1","2017-02-03",209,0,2,0,1,1,3,1,1,8,10
"2","2017-02-02",33,1,1,0,1,1,0,1,1,2,1
"3","2017-02-01",65,3,3,1,2,1,1,1,1,5,3
"4","2017-01-31",37,0,1,0,0,1,0,1,2,0,1
"5","2017-01-30",74,0,0,0,0,1,0,0,0,1,1
"6","2017-01-27",123,2,6,0,1,3,1,1,6,4,5
"7","2017-01-26",273,1,7,0,2,6,2,2,5,7,10
"8","2017-01-25",510,3,12,0,7,4,11,2,10,16,20
"9","2017-01-24",172,3,4,0,4,6,0,1,7,5,16
"10","2017-01-23",135,4,6,1,3,1,1,2,3,7,8
"11","2017-01-22",12,0,0,0,0,0,0,0,0,0,0
"12","2017-01-21",26,1,1,0,1,1,1,2,1,1,1
"13","2017-01-20",88,0,2,0,0,0,0,0,2,2,1
"14","2017-01-19",132,3,3,2,1,2,2,4,8,3,4
"15","2017-01-18",92,2,1,0,1,2,3,1,3,4,5
"16","2017-01-17",10,0,0,0,0,1,0,0,1,0,1
