"","date","word_count","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1","2016-11-15",10,0,0,0,0,0,0,0,0,0,0
"2","2016-11-14",8,0,0,0,0,0,0,0,0,0,0
"3","2016-11-11",21,0,0,0,0,0,0,0,0,0,0
"4","2016-11-10",87,0,1,0,0,1,0,1,1,0,1
"5","2016-11-09",57,0,0,0,0,0,0,0,2,0,1
"6","2016-11-08",218,0,3,0,1,1,0,0,1,0,5
"7","2016-11-07",8,0,0,0,0,1,0,0,1,0,1
"8","2016-11-05",11,0,0,0,0,0,0,0,0,0,0
"9","2016-11-04",25,0,0,0,0,0,0,0,0,0,0
"10","2016-11-02",10,2,0,1,1,0,0,0,0,2,0
"11","2016-11-01",13,2,0,1,1,0,0,0,1,2,1
"12","2016-10-30",12,0,0,0,0,0,0,0,0,0,1
