"","date","word_count","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1","2016-08-16",32,0,1,0,1,0,0,0,1,3,2
"2","2016-08-15",62,0,0,0,0,0,0,0,0,0,2
"3","2016-08-11",8,0,0,0,0,0,0,0,0,0,0
"4","2016-08-10",8,0,0,0,0,0,0,0,0,0,1
"5","2016-08-07",12,0,2,0,0,0,0,0,1,1,3
"6","2016-08-04",15,0,0,0,0,0,0,0,0,0,1
"7","2016-08-03",13,0,1,0,0,1,0,1,1,0,3
"8","2016-08-02",34,0,1,0,0,0,0,0,0,0,1
"9","2016-08-01",180,0,2,0,0,0,0,0,2,0,4
"10","2016-07-31",8,0,0,0,0,1,0,0,1,0,1
"11","2016-07-29",12,0,0,0,0,0,0,0,2,0,2
"12","2016-07-26",13,0,0,0,0,0,0,0,0,0,0
"13","2016-07-25",20,0,0,0,0,0,0,0,0,0,3
"14","2016-07-21",23,0,0,0,0,0,0,0,0,0,1
