"","date","word_count","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1","2017-02-15",51,1,1,1,1,0,0,1,2,3,4
"2","2017-02-14",93,1,1,2,0,1,4,1,1,2,2
"3","2017-02-13",84,1,0,1,3,2,2,0,3,3,2
"4","2017-02-12",26,0,0,0,1,0,0,0,0,0,0
"5","2017-02-11",28,0,0,1,0,0,0,0,2,1,2
"6","2017-02-10",357,2,7,0,1,3,1,3,14,4,18
"7","2017-02-09",516,5,21,6,5,10,4,6,21,15,26
"8","2017-02-08",76,1,3,0,0,0,0,1,4,0,5
"9","2017-02-07",114,3,3,1,1,1,1,1,3,5,8
"10","2017-02-06",166,2,16,0,2,2,0,2,16,1,17
"11","2017-02-05",54,1,5,1,1,3,0,0,3,1,10
"12","2017-02-03",151,4,8,3,4,1,4,1,10,6,11
"13","2017-02-02",70,0,1,0,1,0,0,1,2,1,5
"14","2017-02-01",34,0,1,0,0,1,0,0,3,1,4
