"","date","word_count","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1","2017-03-01",16,0,0,0,1,0,0,0,1,0,1
"2","2017-02-28",14,0,0,0,1,0,0,0,1,0,1
"3","2017-02-27",7,0,1,0,0,0,1,0,0,1,1
"4","2017-02-22",16,0,1,0,1,0,0,0,1,1,2
"5","2017-02-21",7,0,0,0,1,0,0,0,1,0,0
"6","2017-02-20",9,0,0,0,0,0,0,0,0,0,1
"7","2017-02-17",200,8,4,0,6,1,5,0,1,8,23
"8","2017-02-15",10,0,0,0,0,0,0,0,0,1,0
"9","2017-02-13",16,0,0,0,0,0,0,0,0,0,4
"10","2017-02-10",35,0,0,0,0,0,0,0,3,0,3
"11","2017-02-09",19,0,0,0,0,0,0,0,0,0,2
