"","date","word_count","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1","2017-03-17",20,0,0,0,0,0,0,0,0,0,2
"2","2017-03-16",21,0,2,0,0,1,0,0,1,0,2
"3","2017-03-15",15,0,0,0,0,0,0,0,0,0,1
"4","2017-03-13",9,0,0,0,0,0,1,0,0,2,0
"5","2017-03-10",9,0,0,0,0,0,0,0,0,0,0
"6","2017-03-08",5,0,0,0,0,0,0,0,0,0,0
"7","2017-03-06",5,0,0,0,0,0,0,0,0,0,0
"8","2017-03-02",8,0,0,0,0,0,0,0,0,0,0
"9","2017-03-01",34,0,1,0,0,0,0,0,2,1,2
"10","2017-02-27",30,0,1,0,0,2,0,1,3,0,4
"11","2017-02-26",15,0,1,0,0,1,0,0,1,0,1
"12","2017-02-24",21,1,0,0,1,0,0,0,0,0,2
"13","2017-02-23",48,1,1,1,1,1,0,0,2,1,6
"14","2017-02-22",92,0,1,0,0,0,0,0,0,0,2
"15","2017-02-21",30,0,2,0,0,2,0,0,4,0,2
"16","2017-02-16",18,0,0,0,0,0,0,0,0,0,0
"17","2017-02-15",17,0,0,0,0,0,0,0,1,0,1
"18","2017-02-14",9,0,0,0,0,0,0,0,0,0,0
"19","2017-02-13",92,0,2,0,0,1,0,1,3,0,3
"20","2017-02-10",64,0,1,0,0,0,0,0,3,1,3
