"","date","word_count","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1","2017-02-28",10,0,0,0,0,0,0,0,1,0,0
"2","2017-02-27",31,0,0,0,0,0,0,0,3,0,0
"3","2017-02-22",9,0,0,0,0,0,0,0,0,0,0
"4","2017-02-17",40,0,0,0,0,0,0,0,5,0,5
"5","2017-02-16",11,0,0,0,0,0,0,0,0,0,0
"6","2017-02-08",14,0,0,0,0,0,0,0,0,0,0
"7","2017-02-07",15,0,0,0,0,0,1,0,0,1,1
"8","2017-02-01",13,2,1,1,1,1,1,1,1,1,1
"9","2017-01-26",123,0,1,0,0,0,0,0,0,0,2
"10","2017-01-24",11,0,1,0,0,1,1,0,2,1,3
"11","2017-01-23",56,0,2,0,0,1,2,0,3,3,6
"12","2017-01-20",66,1,3,1,1,3,4,0,4,5,8
"13","2017-01-18",5,0,0,0,0,0,0,0,0,0,0
