"","date","word_count","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1","2017-03-06",10,0,0,0,0,1,0,0,1,0,1
"2","2017-03-03",11,0,0,0,0,2,0,0,2,0,2
"3","2017-03-02",38,0,0,0,0,2,0,0,6,0,6
"4","2017-03-01",48,0,0,0,0,4,0,0,5,2,6
"5","2017-02-28",31,0,0,0,0,1,1,0,1,2,4
"6","2017-02-27",24,0,0,0,0,3,0,0,4,0,4
"7","2017-02-24",11,0,0,0,0,2,0,0,2,0,2
"8","2017-02-23",19,0,1,0,0,3,0,0,4,0,4
"9","2017-02-22",9,0,0,0,0,1,0,0,1,0,1
"10","2017-02-21",11,0,0,0,0,2,0,0,2,0,2
"11","2017-02-18",11,0,0,0,0,1,1,0,0,2,1
"12","2017-02-17",32,0,1,1,0,0,0,0,1,1,1
"13","2017-02-16",40,0,0,1,1,1,1,1,3,3,4
"14","2017-02-15",109,0,0,0,0,11,0,0,11,0,12
"15","2017-02-14",33,0,0,0,0,1,1,1,1,2,2
"16","2017-02-10",20,1,0,0,2,0,0,0,0,1,1
"17","2017-02-07",14,0,0,0,0,0,0,0,1,0,1
"18","2017-02-03",10,0,0,0,0,0,0,0,0,0,0
"19","2017-01-31",50,0,2,1,0,4,0,2,4,1,5
