"","date","word_count","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1","2017-02-06",174,0,9,0,0,0,2,2,9,4,12
"2","2017-02-03",87,2,0,0,0,0,1,0,4,5,4
"3","2017-02-02",162,1,4,2,1,0,1,0,7,3,7
"4","2017-02-01",212,1,4,0,2,1,0,2,12,2,14
"5","2017-01-31",358,8,9,2,6,6,6,4,21,7,26
"6","2017-01-30",43,0,0,0,0,0,0,0,0,1,1
"7","2017-01-29",9,1,1,0,2,1,0,0,2,1,2
"8","2017-01-27",58,0,0,0,0,0,0,2,3,1,5
"9","2017-01-26",16,0,1,0,0,1,0,1,1,0,3
"10","2017-01-25",113,2,3,0,4,0,2,2,4,5,3
