"","date","word_count","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1","2017-02-28",333,8,9,4,3,2,4,1,10,8,24
"2","2017-02-27",626,9,23,1,9,11,8,8,20,19,41
"3","2017-02-26",96,1,6,0,1,3,2,4,2,3,5
"4","2017-02-25",73,1,2,1,1,2,1,2,1,1,6
"5","2017-02-24",448,9,12,2,7,9,8,6,12,14,39
"6","2017-02-23",933,20,39,3,23,20,11,18,32,26,58
"7","2017-02-22",1428,27,61,3,33,23,33,21,31,37,105
"8","2017-02-21",289,8,10,3,9,6,5,7,8,16,21
"9","2017-02-20",162,6,5,1,5,3,4,5,4,11,14
"10","2017-02-19",28,1,1,0,0,0,0,0,0,0,3
"11","2017-02-18",125,1,2,0,6,2,2,2,4,4,7
"12","2017-02-17",241,3,7,1,4,7,1,4,7,9,16
"13","2017-02-16",580,11,18,3,10,15,6,14,20,13,37
"14","2016-11-01",789,12,15,2,9,18,9,15,19,17,59
"15","2016-10-31",600,8,15,1,10,10,8,6,17,17,36
"16","2016-10-30",87,3,4,0,1,2,1,3,4,3,5
"17","2016-10-29",213,2,6,1,2,9,1,7,8,4,12
"18","2016-10-28",667,11,14,1,8,6,3,8,7,17,30
"19","2016-10-27",1195,13,53,5,21,35,9,26,39,31,85
"20","2016-10-26",1652,20,43,2,30,29,10,20,36,31,69
"21","2016-10-25",299,5,10,1,3,3,0,4,7,6,12
"22","2016-10-24",535,7,17,2,5,6,6,6,19,14,38
"23","2016-10-23",128,0,6,0,0,1,0,3,2,1,9
"24","2016-10-22",101,0,3,0,1,0,0,0,1,2,3
"25","2016-10-21",372,9,9,0,7,10,7,5,9,15,20
"26","2016-10-20",1257,24,30,3,21,14,12,13,35,25,65
"27","2016-08-09",464,7,16,2,9,8,9,7,17,13,20
"28","2016-08-08",405,10,19,1,13,16,8,6,15,9,28
"29","2016-08-07",108,0,1,0,4,4,2,7,1,4,9
"30","2016-08-06",140,2,2,0,4,4,5,4,4,5,9
"31","2016-08-05",573,11,19,2,13,22,8,12,24,13,39
"32","2016-08-04",760,8,24,6,13,11,10,10,18,20,50
"33","2016-08-03",1326,42,55,9,44,11,39,13,29,55,70
"34","2016-08-02",668,6,25,4,10,15,9,19,30,18,42
"35","2016-08-01",1484,10,67,2,12,55,9,44,80,18,112
"36","2016-07-31",244,5,8,1,9,6,12,11,11,14,18
"37","2016-07-30",278,7,3,2,11,3,11,8,10,13,15
"38","2016-07-29",431,9,8,1,19,6,19,16,11,22,22
"39","2016-07-28",335,7,14,0,4,14,3,13,19,9,32
"40","2016-05-10",688,4,27,2,12,11,5,8,25,19,45
"41","2016-05-09",634,11,18,0,9,10,10,9,16,19,38
"42","2016-05-08",90,2,2,1,2,1,3,1,2,3,8
"43","2016-05-07",72,0,5,0,0,2,0,1,1,2,8
"44","2016-05-06",433,7,17,0,9,11,5,9,10,12,33
"45","2016-05-05",1158,22,44,5,19,22,19,15,39,38,82
"46","2016-05-04",1708,35,88,2,23,22,29,29,49,53,139
"47","2016-05-03",571,13,18,4,13,8,7,11,11,15,28
"48","2016-05-02",456,9,10,0,9,5,3,6,10,8,38
"49","2016-05-01",175,1,5,0,3,1,1,1,1,2,13
