"","DY","EBITG","EV2EBITDA","M2B","MOMENTUM","PB","PE","PF","PS","RETURN","days"
"5988",3.2734,23.876,9.5293,0.9969,-0.28068,0.7423,22.811,3.8077,1.0776,-0.018547,6
"7245",3.6034,-57.98,5.6357,2.0955,-0.088312,1.5137,10.224,8.3058,0.7684,0.030835,3
"6558",2.5938,257.94,5.3279,1.2115,-0.42167,1.1426,21.823,5.6303,0.3061,0.048892,6
"6574",3.5562,-42.439,8.9728,2.6322,-0.36064,2.2159,15.093,10.239,0.6432,0.029896,4
"6428",3.1114,57.524,12.626,10.896,-0.35634,9.0693,15.052,23.771,1.113,0.045877,2
"6594",1.6575,85.584,7.6473,2.3843,-0.41956,1.9613,12.138,7.32,0.4651,0.033614,6
"8099",8.1138,6.7742,8.0755,2.6377,-0.27253,1.9515,4.2282,12.016,1.5097,0.054219,5
"2629",4.4586,-31.344,10.971,3.1624,-0.10058,2.2741,11.868,9.4051,1.5523,0.0085091,1
"6524",0,24.514,81.099,3.6124,-0.39037,3.3978,43.917,21.544,2.6676,0.032128,2
"8004",0,-1.3655,6.5026,5.3216,0.23589,4.9599,9.8474,10.173,3.8208,0.033307,6
"5397",5.5109,-18.899,6.177,2.8908,0.54121,2.0417,8.5854,5.3606,1.3342,0.038042,3
"5887",2.3789,12.415,9.6047,5.7492,-0.095043,4.7205,13.136,10.243,3.4566,0.00037528,1
"7348",4.0945,-9.8804,8.6391,3.1635,-0.070299,2.5581,10.338,8.6819,2.1698,-0.01537,4
"15185",1.231,37.313,11.486,2.6549,-0.24959,2.5191,18.275,19.891,2.4696,0.021822,5
"3684",3.0905,-9.1991,12.27,6.5159,0.21372,5.0345,14.145,21.218,1.921,-0.10479,6
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11368",4.9788,-16.107,8.9152,4.5109,-0.062674,2.1644,5.8479,7.7531,1.0397,0.03326,4
"19645",3.2198,-160.02,15.13,1.9732,-0.24266,1.7926,19.442,15.633,0.4308,-0.0042414,1
"18830",1.299,38.097,11.883,3.4909,-0.24389,3.4076,19.206,22.587,3.0579,-0.013838,2
"6404",0.3909,13.179,9.8982,36.377,-0.21436,29.811,11.934,9.3672,2.1099,0.016719,2
"3995",7.7554,163.68,2.9135,0.8109,1.6879,0.3986,2.2368,5.9522,0.1156,0.14007,5
"7162",0,16.609,10.34,2.9268,-0.41087,2.6951,28.721,15.729,0.6245,-0.024463,4
"4986",5.324,-44.889,3.6109,1.5045,0.35815,1.1212,5.0409,37.869,0.4339,0.036863,6
"4276",0,11.934,10.091,5.0413,-0.26754,5.0579,22.771,8.9583,1.3308,-0.026198,4
"6941",1.9753,6.4942,5.7499,1.2049,-0.29635,1.0742,13.723,8.0973,1.3007,-0.0043079,5
