"","DY","EBITG","EV2EBITDA","M2B","MOMENTUM","PB","PE","PF","PS","RETURN","days","surprise"
"5988",1.9738,-8.7467,5.2686,1.0229,-0.024345,0.9058,12.294,8.0535,1.0903,-0.040665,6,8.5
"7245",1.8278,-75.604,5.1163,2.5064,0.065208,2.021,9.7263,6.9695,0.2542,0.078684,3,-28.1
"6558",1.6996,-37.521,8.0263,1.8288,0.35058,1.5981,16.047,13.568,0.6467,-0.036753,6,14.8
"6574",0,-48.609,3.8959,0.7847,0.097987,0.6912,9.9914,3.7367,0.5635,0.053316,4,-240.7
"6428",9.5204,-38.208,7.1454,2.3089,0.32334,1.6252,3.515,8.0431,1.2542,0.039,2,-4.5
"6594",25.878,-8.662,6.31,7.255,0.27853,3.684,7.1264,2.4614,0.5657,0.010384,6,-5.1
"8099",0.969,75.492,5.1494,3.8739,0.19824,3.1439,9.0047,7.7356,1.9245,-0.0015733,5,12.2
"2629",3.3514,49.496,10.03,4.0789,0.064735,3.0588,11.6,12.446,2.2877,0.001372,1,4.8
"6524",0.539,93.292,15.374,2.8504,0.5582,2.4366,33.67,121.61,2.5411,-0.056675,2,93.4
"8004",0,7.8593,14.017,1.8331,-0.02522,1.77,26.264,40.835,3.4645,-0.033281,6,5
"5397",1.3863,-108.22,24.784,1.9045,-0.25026,1.62,13.254,100.02,4.4552,0.012942,3,21.9
"5887",1.5477,4.0724,23.533,1.5684,0.32481,1.3383,12.268,400.48,4.0456,0.0089447,1,8
"7348",0,15.415,19.916,2.4598,0.054825,2.3343,30,22.712,3.9514,-0.056015,4,4.5
"15185",1.9504,44.126,11.579,7.119,0.25291,6.4648,20.136,16.799,1.3092,0.017562,4,2.4
"3684",3.7286,-3.8769,8.9042,3.753,0.015561,2.8533,10.361,11.158,2.0586,-0.015638,6,4.8
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11368",2.909,11.427,8.0904,5.4769,0.14917,4.6996,11.124,19.572,1.0034,-0.012472,3,33.8
"19645",1.4547,9.7962,19.688,3.3136,0.27045,3.2107,17.556,24.081,1.0038,-0.1185,6,17.1
"18830",2.9389,-12.098,8.1431,7.3547,0.17475,6.8227,10.7,9.6325,1.6175,-0.044271,1,23.9
"6404",0,11.582,11.839,3.2843,0.31606,2.7775,18.201,16.282,3.2658,-0.0060825,2,14
"3995",0,52.67,7.062,1.8064,-0.82409,1.7565,6.4459,5.1269,0.845,-0.043912,5,-10.2
"7162",0,-1.0549,11.296,3.1825,0.27945,2.6985,16.619,14.827,3.1508,0.041987,4,8.8
"4986",0,188.45,8.6152,0.886,-2.9122,1.4075,22.186,8.1252,0.5022,-0.66667,6,-270.4
"4276",4.9237,-75.139,8.6511,1.6389,-1.7717,1.4325,5.2791,2.354,0.5287,-0.044376,4,-1.4
"6941",0,-33.846,7.5796,1.066,0.006772,1.066,36.565,5.8093,0.4447,0.15069,5,-37.5
