,DY,EBITG,EV2EBITDA,M2B,MOMENTUM,PB,PE,PF,PS,RETURN,days,surprise
17886,11.492,17.242,3.7526,7.831,0.015258,6.0525,5.4602,4.929,1.3635,-0.029265,1,-7.4
17887,11.691,17.242,3.6947,7.6978,0.040964,5.9495,5.3673,4.8451,1.3403,-0.027627,2,-7.4
17888,11.394,17.242,3.7819,7.8984,0.076764,6.1046,5.5072,4.9714,1.3752,-0.04417,3,-7.4
17889,11.653,17.242,3.7056,7.7227,-0.0035836,5.9688,5.3847,4.8608,1.3446,-0.019267,4,-7.4
17890,11.182,17.242,3.8468,8.0477,0.023949,6.22,5.6113,5.0654,1.4012,-0.041084,5,-7.4
17891,10.911,17.242,3.9339,8.2483,-0.043251,6.375,5.7512,5.1916,1.4361,-0.00072456,6,-7.4
17910,2.6144,31.757,10.182,3.301,0.14106,2.4004,17.191,18.5,2.5064,0.0076867,1,5.7
17911,2.6637,31.757,9.9797,3.2398,0.20102,2.3559,16.872,18.158,2.4599,-0.049252,2,5.7
17912,2.642,31.757,10.068,3.2664,0.21089,2.3753,17.011,18.307,2.4802,-0.066875,3,5.7
17913,2.6458,31.757,10.052,3.2617,0.063533,2.3719,16.987,18.281,2.4766,-0.059195,4,5.7
17914,2.6767,31.757,9.9279,3.2241,0.055687,2.3445,16.791,18.07,2.448,-0.060549,5,5.7
17915,2.6395,31.757,10.078,3.2696,0.037501,2.3776,17.028,18.325,2.4826,-0.071393,6,5.7
17982,0.8355,-2.6178,9.4878,4.8388,-0.23323,4.0819,22.757,12.623,4.1165,-0.024278,1,-0.5
17983,0.8417,-2.6178,9.4113,4.8035,-0.22566,4.0521,22.591,12.531,4.0865,-0.049056,2,-0.5
17984,0.8484,-2.6178,9.3294,4.7657,-0.23871,4.0202,22.413,12.433,4.0543,-0.055995,3,-0.5
17985,0.8511,-2.6178,9.2966,4.7506,-0.21377,4.0074,22.342,12.393,4.0414,-0.063428,4,-0.5
17986,0.8479,-2.6178,9.3349,4.7682,-0.23707,4.0223,22.425,12.439,4.0564,-0.066401,5,-0.5
17987,0.8738,-2.6178,9.029,4.627,-0.2252,3.9032,21.761,12.071,3.9363,-0.062934,6,-0.5
18018,0,117.93,19.771,6.8197,-0.09858,6.1849,28.343,22.82,3.3264,-0.022138,1,45.4
18019,0,117.93,19.622,6.7761,-0.048952,6.1454,28.162,22.674,3.3051,-0.082693,2,45.4
18020,0,117.93,19.172,6.6452,-0.067905,6.0266,27.618,22.236,3.2413,-0.088568,3,45.4
18021,0,117.93,18.886,6.5617,-0.089359,5.9509,27.271,21.956,3.2006,-0.10617,4,45.4
18022,0,117.93,19.149,6.6383,-0.11215,6.0204,27.589,22.213,3.2379,-0.1174,5,45.4
18023,0,117.93,19.03,6.6038,-0.10415,5.9891,27.446,22.097,3.2211,-0.1071,6,45.4
18132,0.8459,10.323,11.631,6.922,-0.11267,5.8467,23.246,26.867,3.5721,0.053541,1,9.5
18133,0.811,10.323,12.111,7.2193,-0.06583,6.0979,24.244,28.021,3.7256,0.053541,2,9.5
18134,0.8061,10.323,12.183,7.2635,-0.046755,6.1352,24.393,28.193,3.7484,0.098792,3,9.5
18135,0.824,10.323,11.928,7.1058,-0.023501,6.002,23.863,27.581,3.667,0.10553,4,9.5
18136,0.8236,10.323,11.934,7.1092,-0.020917,6.0049,23.874,27.594,3.6688,0.081521,5,9.5
18137,0.832,10.323,11.818,7.0377,-0.044269,5.9445,23.634,27.317,3.6319,0.082038,6,9.5
18168,4.0479,25.54,12.62,3.4352,-0.084987,2.3452,13.535,17.939,1.7522,-0.027631,1,0.8
18169,4.07,25.54,12.554,3.4166,-0.083709,2.3324,13.461,17.841,1.7427,-0.032895,2,0.8
18170,4.06,25.54,12.584,3.425,-0.11349,2.3382,13.494,17.885,1.747,-0.038159,3,0.8
18171,4.0936,25.54,12.485,3.3969,-0.11779,2.319,13.384,17.738,1.7327,-0.035791,4,0.8
18172,4.1242,25.54,12.396,3.3717,-0.11933,2.3018,13.284,17.607,1.7198,-0.043685,5,0.8
18173,4.1105,25.54,12.435,3.3829,-0.11812,2.3095,13.329,17.665,1.7255,-0.050789,6,0.8
18180,5.8867,-35.877,8.5196,2.6699,-0.10719,1.7163,8.3288,7.9941,2.5679,-0.0099208,1,1.7
18181,5.7879,-35.877,8.6816,2.7154,-0.097061,1.7456,8.4709,8.1305,2.6117,-0.031225,2,1.7
18182,5.8889,-35.877,8.516,2.6688,-0.10575,1.7156,8.3256,7.991,2.5669,-0.014692,3,1.7
18183,5.9046,-35.877,8.4908,2.6618,-0.1011,1.7111,8.3035,7.9698,2.5601,-0.031592,4,1.7
18184,5.9567,-35.877,8.408,2.6385,-0.089914,1.6961,8.2309,7.9001,2.5377,-0.034167,5,1.7
18185,5.9476,-35.877,8.4224,2.6425,-0.073746,1.6987,8.2435,7.9122,2.5416,-0.042614,6,1.7
18192,0.5489,-17.634,8.9562,3.8665,0.13202,3.0232,14.531,29.928,2.5362,0.0070476,1,14.5
18193,0.5416,-17.634,9.0882,3.9187,0.065134,3.0641,14.727,30.332,2.5705,0.04262,2,14.5
18194,0.5332,-17.634,9.2434,3.9801,0.05226,3.1121,14.958,30.808,2.6108,0.056711,3,14.5
18195,0.5237,-17.634,9.425,4.0519,0.0030187,3.1683,15.228,31.364,2.6579,0.073267,4,14.5
18196,0.5244,-17.634,9.3986,4.0415,-0.040449,3.1642,15.208,31.323,2.6544,0.092641,5,14.5
18197,0.5261,-17.634,9.3656,4.0284,-0.030525,3.154,15.159,31.222,2.6459,0.091228,6,14.5
18204,1.1713,-5.3707,10.203,6.5953,-0.10342,5.551,16.44,7.2136,2.0721,-0.00051702,1,-1.7
18205,1.1437,-5.3707,10.343,6.7546,-0.11579,5.6851,16.837,7.3879,2.1221,-0.0094691,2,-1.7
18206,1.1667,-5.3707,10.226,6.6216,-0.13597,5.5732,16.506,7.2425,2.0804,0.01446,3,-1.7
18207,1.165,-5.3707,10.234,6.6308,-0.094976,5.5809,16.529,7.2525,2.0833,-0.005508,4,-1.7
18208,1.1693,-5.3707,10.213,6.6067,-0.094859,5.5607,16.469,7.2262,2.0757,-0.0041321,5,-1.7
18209,1.1618,-5.3707,10.251,6.6491,-0.084349,5.5964,16.575,7.2726,2.089,-0.0077471,6,-1.7
18210,1.1155,1.2658,7.4077,1.7841,-0.26183,1.4483,12.642,30.962,1.3627,-0.017626,1,0
18211,1.1238,1.2658,7.3663,1.771,-0.30336,1.4376,12.549,30.734,1.3526,0.026033,2,0
18212,1.1372,1.2658,7.3004,1.7501,-0.28773,1.4206,12.401,30.371,1.3367,0.018479,3,0
18213,1.1581,1.2658,7.2007,1.7184,-0.30164,1.3949,12.177,29.822,1.3125,0.0064406,4,0
18214,1.1628,1.2658,7.1792,1.7116,-0.26567,1.3894,12.129,29.704,1.3073,-0.011747,5,0
18215,1.1591,1.2658,7.1961,1.717,-0.24234,1.3938,12.166,29.797,1.3114,-0.01567,6,0
18228,2.9733,-19.134,12.387,4.9414,-0.10675,3.601,12.878,12.432,2.7021,-0.01011,1,1.6
18229,2.988,-19.134,12.327,4.9171,-0.10783,3.5832,12.815,12.37,2.6888,-0.0025275,2,1.6
18230,3.0156,-19.134,12.215,4.8721,-0.13024,3.5505,12.697,12.257,2.6642,-0.0074399,3,1.6
18231,3.0119,-19.134,12.23,4.878,-0.13494,3.5548,12.713,12.272,2.6674,-0.01651,4,1.6
18232,3.001,-19.134,12.274,4.8957,-0.13391,3.5677,12.759,12.316,2.6771,-0.015328,5,1.6
18233,2.9826,-19.134,12.349,4.9259,-0.13601,3.5897,12.838,12.393,2.6936,-0.011761,6,1.6
18258,2.013,-66.232,6.8042,1.3816,0.31791,1.1941,6.2566,197.07,0.5176,0.045704,1,4.8
18259,2.0486,-66.232,6.7287,1.3576,0.28852,1.1733,6.1478,193.64,0.5086,0.065343,2,4.8
18260,2.0803,-66.232,6.6638,1.3369,0.31512,1.1554,6.0542,190.69,0.5009,0.046819,3,4.8
18261,2.0743,-66.232,6.6759,1.3408,0.30802,1.1588,6.0717,191.24,0.5023,0.030885,4,4.8
18262,2.0803,-66.232,6.6638,1.3369,0.32005,1.1554,6.0542,190.69,0.5009,0.033849,5,4.8
18263,1.9915,-66.232,6.851,1.3965,0.34952,1.2069,6.3241,199.19,0.5232,0.030885,6,4.8
18270,0,140.3,11.116,2.315,-0.1355,1.2116,8.6343,6.2192,0.5402,-0.010183,1,5.3
18271,0,140.3,11.082,2.3055,-0.15194,1.2066,8.5987,6.1936,0.5379,0.016767,2,5.3
18272,0,140.3,11.141,2.3218,-0.14488,1.2152,8.6597,6.2375,0.5418,0.012572,3,5.3
18273,0,140.3,11.136,2.3205,-0.15972,1.2145,8.6546,6.2338,0.5414,0.019761,4,5.3
18274,0,140.3,11.209,2.3409,-0.16805,1.2252,8.7309,6.2888,0.5462,0.019167,5,5.3
18275,0,140.3,11.224,2.345,-0.17881,1.2273,8.7462,6.2998,0.5472,0.02815,6,5.3
18348,0,52.133,24.703,4.2972,0.25148,4.2973,53.593,59.54,6.3263,-0.016776,1,32.9
18349,0,52.133,24.033,4.1888,0.18072,4.1889,52.241,58.038,6.1668,0.055434,2,32.9
18350,0,52.133,23.877,4.1635,0.23609,4.1636,51.926,57.689,6.1296,0.028811,3,32.9
18351,0,52.133,23.721,4.1383,0.23003,4.1384,51.611,57.339,6.0924,0.022611,4,32.9
18352,0,52.133,23.877,4.1635,0.26188,4.1636,51.926,57.689,6.1296,0.016411,5,32.9
18353,0,52.133,24.125,4.2036,0.25143,4.2037,52.426,58.244,6.1886,0.022611,6,32.9
18456,4.129,-12.438,8.1614,3.9727,-0.052169,2.6033,11.96,11.94,1.6597,-0.0026566,1,-6.6
18457,4.1199,-12.438,8.175,3.9815,-0.030691,2.609,11.986,11.966,1.6633,-0.019593,2,-6.6
18458,4.106,-12.438,8.1959,3.9949,-0.049581,2.6179,12.027,12.007,1.669,-0.017435,3,-6.6
18459,4.1109,-12.438,8.1886,3.9902,-0.062119,2.6148,12.013,11.993,1.667,-0.014113,4,-6.6
18460,4.0643,-12.438,8.2595,4.036,-0.055435,2.6447,12.15,12.13,1.6861,-0.015276,5,-6.6
18461,3.995,-12.438,8.3681,4.1059,-0.080569,2.6906,12.361,12.34,1.7153,-0.0039848,6,-6.6
18462,4.2686,-20.175,4.0831,1.2757,-0.033221,0.6719,3.2531,9.3285,0.3169,0.010005,1,7.8
18463,4.2218,-20.175,4.119,1.2898,-0.016238,0.6794,3.2892,9.4319,0.3204,-0.014006,2,7.8
18464,4.2316,-20.175,4.1114,1.2868,-0.041206,0.6778,3.2816,9.41,0.3196,-0.0030777,3,7.8
18465,4.1652,-20.175,4.1635,1.3073,-0.032022,0.6886,3.3339,9.56,0.3247,-0.0053867,4,7.8
18466,4.1175,-20.175,4.2019,1.3225,-0.031132,0.6966,3.3725,9.6707,0.3285,0.010466,5,7.8
18467,4.0625,-20.175,4.2474,1.3404,-0.039717,0.706,3.4182,9.8018,0.3329,0.022163,6,7.8
18468,0,9.589,21.286,4.5681,0.13444,3.8049,14.93,44.117,5.278,0.10934,1,10.3
18469,0,9.589,21.328,4.5768,0.14603,3.8121,14.958,44.2,5.288,0.12314,2,10.3
18470,0,9.589,21.034,4.5163,0.19764,3.7618,14.76,43.616,5.2182,0.12526,3,10.3
18471,0,9.589,20.782,4.4645,0.20029,3.7186,14.591,43.116,5.1583,0.1104,4,10.3
18472,0,9.589,20.95,4.499,0.20309,3.7474,14.704,43.45,5.1982,0.097664,5,10.3
18473,0,9.589,20.971,4.5034,0.19674,3.751,14.718,43.491,5.2032,0.10616,6,10.3
18486,3.203,-10.417,10.132,3.4402,-0.21062,2.4317,13.515,14.775,1.8139,-0.015385,1,0
18487,3.2082,-10.417,10.118,3.4346,-0.18616,2.4277,13.493,14.751,1.811,-0.041242,2,0
