"","X","DY","EBITG","EV2EBITDA","M2B","MOMENTUM","PB","PE","PF","PS","RETURN","days"
"4989",63428,0,188.45,7.6547,0.4416,8.3629,0.7015,11.057,4.0495,0.2503,0.35517,3
"4990",63429,0,188.45,7.596,0.4144,7.8535,0.6584,10.377,3.8005,0.2349,0.42648,4
"4987",63426,0,188.45,7.9142,0.5616,7.7587,0.8922,14.063,5.1503,0.3183,-0.062055,1
"4988",63427,0,188.45,7.9945,0.5988,7.4013,0.9512,14.993,5.491,0.3394,0.27184,2
"4991",63430,0,188.45,7.5513,0.3937,7.2136,0.6254,9.8582,3.6105,0.2231,0.29277,5
"4747",61098,2.0577,-1069.9,1.9173,1.3357,5.8236,1.248,3.8879,3.8901,0.1596,-0.14226,1
"4992",63431,0,188.45,7.6391,0.4344,5.1038,0.6901,10.878,3.984,0.2462,0.37411,6
"4748",61099,1.765,-1069.9,2.198,1.5573,5.0977,1.4549,4.5327,4.5353,0.186,-0.11179,2
"4749",61100,1.8277,-1069.9,2.1303,1.5038,5.0852,1.405,4.3772,4.3797,0.1797,-0.068182,3
"4750",61101,1.9174,-1069.9,2.0411,1.4335,4.9392,1.3393,4.1724,4.1748,0.1713,-0.026589,4
"4751",61102,2.003,-1069.9,1.9635,1.3722,4.8624,1.2821,3.9941,3.9964,0.1639,-0.050922,5
"4881",62024,4.3244,-229.54,2.0558,0.7523,4.6895,0.7055,2.176,3.8956,0.1459,0.026519,3
"4752",61103,1.9529,-1069.9,2.0081,1.4074,4.5869,1.3149,4.0965,4.0989,0.1681,0.057788,6
"4884",62027,4.092,-229.54,2.1257,0.795,4.5303,0.7456,2.2996,4.1168,0.1542,0.010089,6
"4882",62025,4.3351,-229.54,2.0527,0.7504,4.4301,0.7038,2.1706,3.8859,0.1456,0.092175,4
"4883",62026,4.6123,-229.54,1.9789,0.7053,4.3046,0.6615,2.0401,3.6524,0.1368,-0.031042,5
"4879",62022,4.2231,-229.54,2.0853,0.7703,4.2898,0.7224,2.2282,3.989,0.1494,0.073993,1
"4880",62023,4.5356,-229.54,1.9984,0.7172,4.0551,0.6727,2.0747,3.7142,0.1391,0.023987,2
