,DY,EBITG,EV2EBITDA,M2B,MOMENTUM,PB,PE,PF,PS,RETURN,days
17886,11.174000000000001,17.242,3.8493,8.0536,0.016558,6.2245,5.6154,5.069,1.4022,0.022677000000000003,1
17887,11.427999999999999,17.242,3.7717,7.875,0.064551,6.0865,5.4908,4.9566,1.3711,0.040326999999999995,2
17888,11.625,17.242,3.7335,7.7871,0.014634000000000001,5.9832,5.3977,4.8725,1.3479,0.066186,3
17889,11.914000000000001,17.242,3.6515,7.5983,0.043391000000000006,5.8381,5.2668,4.7544,1.3152,0.059046,4
17890,11.834000000000001,17.242,3.6738,7.6495,0.010323,5.8775,5.3023,4.7864,1.3241,0.074883,5
17891,12.011,17.242,3.6248,7.5368,0.033018,5.7909,5.2242,4.7159,1.3045,0.085849,6
17910,2.4856,31.756999999999998,10.745999999999999,3.472,0.18345999999999998,2.5248,18.082,19.459,2.6362,0.009579700000000002,1
17911,2.5094,31.756999999999998,10.637,3.4389999999999996,0.20317000000000002,2.5008,17.91,19.274,2.6112,0.028339999999999997,2
17912,2.556,31.756999999999998,10.43,3.3763,0.22512,2.4552,17.583,18.923,2.5636,0.05230599999999999,3
17913,2.6156,31.756999999999998,10.177,3.2994,0.22582,2.3993,17.183,18.492,2.5052,0.053304,4
17914,2.6181,31.756999999999998,10.166,3.2962,0.20519,2.397,17.167,18.474,2.5028,0.048815,5
17915,2.6069,31.756999999999998,10.213,3.3104,0.16755,2.4073,17.24,18.553,2.5135,0.045347000000000005,6
17982,0.7945,-2.6178,10.027999999999999,5.0885,-0.18938,4.2924,23.930999999999997,13.275,4.3289,-0.008357700000000001,1
17983,0.7879,-2.6178,10.121,5.1313,-0.19326,4.3286,24.131999999999998,13.386,4.3653,-0.0049312,2
17984,0.7906,-2.6178,10.083,5.1137,-0.19437000000000001,4.3137,24.049,13.341,4.3503,0.010515,3
17985,0.8029,-2.6178,9.9138,5.0355,-0.19529000000000002,4.2478,23.682,13.137,4.2838,0.021769,4
17986,0.8118,-2.6178,9.7937,4.98,-0.23351999999999998,4.2010000000000005,23.421,12.992,4.2366,0.038063,5
17987,0.8248,-2.6178,9.6244,4.9019,-0.24006,4.135,23.053,12.788,4.1701,0.051039999999999995,6
18018,0.0,117.93,21.851999999999997,7.4264,-0.11850999999999999,6.7425,30.899,24.877,3.6263,0.02621,1
18019,0.0,117.93,21.201999999999998,7.2367,-0.12976,6.5703,30.11,24.241999999999997,3.5337,0.013568,2
