"","X","DY","EBITG","EV2EBITDA","M2B","MOMENTUM","PB","PE","PF","PS","RETURN","days","surprise"
"2110",36561,0,20.084,26.284,8.6417,0.79825,7.3203,42.671,35.847,5.2904,-0.23956,4,25.2
"2109",36560,0,20.084,28.386,9.3492,0.79054,7.9197,46.164,38.782,5.7235,-0.12267,3,25.2
"2108",36559,0,20.084,25.767,8.4676,0.78873,7.1728,41.811,35.124,5.1838,-0.05839,2,25.2
"2111",36562,0,20.084,23.865,7.8275,0.78163,6.6306,38.65,32.469,4.7919,-0.14575,5,25.2
"2107",36558,0,20.084,24.326,7.9828,0.77486,6.7622,39.417,33.113,4.887,-0.0072418,1,25.2
"2620",41271,0,19.763,23.24,9.3244,0.77075,7.8977,33.953,32.533,5.7254,-0.1481,4,18.5
"2621",41272,0,19.763,23.045,9.2453,0.76804,7.8307,33.665,32.257,5.6769,-0.17346,5,18.5
"2112",36563,0,20.084,21.15,6.9134,0.76513,5.8562,34.136,28.677,4.2323,-0.037794,6,25.2
"2619",41270,0,19.763,22.743,9.1229,0.75734,7.7271,33.219,31.83,5.6017,-0.14734,3,18.5
"2617",41268,0,19.763,22.302,8.9444,0.7571,7.5873,32.618,31.254,5.5004,-0.10094,1,18.5
"2618",41269,0,19.763,22.694,9.103,0.75541,7.7219,33.197,31.808,5.598,-0.12734,2,18.5
"2622",41273,0,19.763,23.944,9.6095,0.75504,8.1392,34.991,33.527,5.9005,-0.16351,6,18.5
"22863",227449,0.1579,-8.099,13.616,1.7235,0.73841,1.7213,39.128,64.891,4.0609,-0.093661,2,9.4
"15945",159901,0,44.062,80.632,17.257,0.73436,17.257,175.5,535.46,5.1379,-0.18254,2,20.1
"22862",227448,0.1382,-8.099,15.323,1.9682,0.73168,1.9656,44.682,74.103,4.6373,-0.083093,1,9.4
"1588",31845,0,25.552,21.903,5.8772,0.72925,4.9771,38.533,31.983,3.481,-0.20047,4,10.8
"6488",78031,0,48.671,10.28,2.7492,0.72868,2.5154,28.549,13.986,0.5498,-0.15462,2,13.8
"6489",78032,0,48.671,10.159,2.7153,0.72741,2.4844,28.197,13.814,0.543,-0.14554,3,13.8
"8030",90613,0,-10.138,29.505,45.847,0.7229,45.758,63.132,36.522,4.4079,-0.15642,2,-1
"8761",95958,0,12.88,33.895,37.977,0.72154,38.358,70.585,45.385,5.1211,0.019867,1,23.1
"1590",31847,0,25.552,22.395,6.0171,0.72144,5.0955,39.45,32.744,3.5638,-0.22344,6,10.8
"3385",47772,0,83.87,16.848,8.0707,0.71784,6.8358,23.085,21.169,4.6879,-0.0049977,1,14.4
"3387",47774,0,83.87,17.52,8.3906,0.71651,7.1067,24,22.008,4.8738,-0.085538,3,14.4
"8764",95961,0,12.88,34.225,38.343,0.71491,38.727,71.264,45.822,5.1704,-0.14642,4,23.1
"1587",31844,0,25.552,22.306,5.9918,0.71484,5.0741,39.285,32.606,3.5489,-0.15278,3,10.8
"8763",95960,0,12.88,34.416,38.555,0.71442,38.942,71.659,46.076,5.1991,-0.1673,3,23.1
"6961",82128,0.4491,-27.121,15.318,3.0782,0.71422,2.7168,30.493,38.87,2.8568,-0.024365,1,18
"15778",158852,1.9441,-78.208,10.925,3.5931,0.71327,3.2301,15.192,10.843,0.2771,0.10308,3,48.8
"15779",158853,1.9265,-78.208,11.029,3.6259,0.71226,3.2597,15.331,10.942,0.2796,0.09619,4,48.8
