"","output","output.1","output.2","output.3","output.4","output.5","output.6","output.7","output.8","output.9","output.10","output.11"
"1",13,0,0,0,0,0,0,0,0,0,0.0769230769230769,1488240000
"2",10,0.1,0,0.1,0.1,0,0.1,0,0,0.1,0,1488240000
"3",12,0.0833333333333333,0,0.0833333333333333,0,0,0.0833333333333333,0,0,0.0833333333333333,0,1488240000
"4",11,0,0.0909090909090909,0,0,0,0,0,0.0909090909090909,0,0.0909090909090909,1488240000
"5",9,0,0,0,0,0,0,0,0.111111111111111,0,0.111111111111111,1488240000
"6",8,0.125,0,0.125,0.125,0,0.125,0,0,0.125,0,1488240000
"7",9,0,0,0,0,0,0,0,0,0,0.111111111111111,1488240000
"8",13,0.0769230769230769,0.0769230769230769,0,0,0.0769230769230769,0,0,0.0769230769230769,0.0769230769230769,0.230769230769231,1488240000
"9",11,0,0.0909090909090909,0,0,0,0,0,0.0909090909090909,0,0.0909090909090909,1488240000
"10",11,0,0,0,0,0,0,0,0,0,0,1488240000
"11",10,0,0,0,0,0,0,0,0,0,0.1,1488240000
"12",9,0,0.111111111111111,0,0,0,0,0,0.111111111111111,0,0.111111111111111,1488240000
"13",10,0,0.1,0,0,0,0,0,0.1,0,0.1,1488240000
"14",11,0,0,0,0,0,0,0,0.0909090909090909,0,0,1488240000
"15",9,0.111111111111111,0,0.111111111111111,0,0,0.111111111111111,0,0,0.111111111111111,0,1488240000
"16",12,0,0,0,0,0,0,0,0.0833333333333333,0,0.25,1488240000
"17",6,0.166666666666667,0,0,0,0,0,0,0,0.166666666666667,0,1488240000
"18",10,0,0,0,0,0,0,0,0,0,0,1488240000
"19",13,0,0.0769230769230769,0,0,0,0,0,0.0769230769230769,0,0.0769230769230769,1488240000
"20",12,0,0,0,0,0,0,0,0,0.0833333333333333,0,1488240000
"21",10,0.1,0.2,0,0.1,0,0,0,0.1,0,0.3,1488240000
"22",10,0,0.1,0,0,0,0,0,0,0,0.1,1488240000
"23",10,0,0,0,0,0,0,0,0,0,0.1,1488240000
"24",12,0,0,0,0,0,0,0,0,0,0,1488240000
"25",13,0,0,0,0,0,0,0,0,0,0.0769230769230769,1488240000
"26",7,0,0,0,0,0,0,0,0,0,0,1488240000
"27",11,0,0,0,0,0,0,0,0,0,0,1488240000
"28",10,0,0,0,0,0,0,0,0,0,0,1488240000
"29",8,0.125,0,0,0,0,0,0,0,0.125,0,1488240000
"30",9,0,0,0,0,0,0,0,0,0,0.222222222222222,1488240000
"31",13,0,0,0,0,0,0,0,0,0,0,1488240000
"32",10,0,0.1,0,0,0.1,0,0.1,0,0,0.3,1488153600
"33",9,0,0,0,0,0,0,0,0,0,0,1488153600
"34",8,0,0,0,0,0,0,0,0,0,0,1488153600
"35",12,0,0,0,0,0,0,0,0,0,0,1488153600
"36",12,0,0.0833333333333333,0,0,0,0,0,0,0,0.166666666666667,1488153600
"37",12,0,0,0,0,0,0,0,0,0,0,1488153600
"38",10,0,0,0,0,0,0,0,0,0,0,1488153600
"39",11,0,0.0909090909090909,0,0,0.0909090909090909,0,0,0.0909090909090909,0,0.0909090909090909,1488153600
"40",11,0,0,0,0,0,0,0,0,0,0.0909090909090909,1488153600
"41",8,0,0,0,0,0,0,0,0,0,0,1488153600
"42",10,0,0,0,0,0,0,0,0,0,0.1,1488153600
"43",13,0,0,0,0,0,0,0,0.0769230769230769,0,0.153846153846154,1488153600
"44",8,0,0.125,0,0,0.125,0,0.125,0.125,0,0.125,1488153600
"45",11,0,0.0909090909090909,0,0,0,0,0,0.0909090909090909,0,0.0909090909090909,1488153600
"46",10,0,0,0,0,0,0,0,0,0,0,1488153600
"47",10,0,0,0,0,0,0,0,0,0,0,1488153600
"48",10,0,0,0,0,0,0,0,0,0,0,1488153600
"49",11,0,0,0,0,0,0,0,0,0,0,1488153600
"50",10,0.1,0,0,0,0,0,0,0,0.1,0,1488153600
